    N     E(MeV)   Elastic(b)   Inelastic(b) Capture(b)   Fission(b)   Total(b)
  290         291     0.03461            0            0            0      0.03461
  291         292     0.03456            0            0            0      0.03456
  292         293     0.03451            0            0            0      0.03451
  293         294     0.03445            0            0            0      0.03445
  294         295      0.0344            0            0            0       0.0344
  295         296     0.03435            0            0            0      0.03435
  296         297      0.0343            0            0            0       0.0343
  297         298     0.03424            0            0            0      0.03424
  298         299     0.03419            0            0            0      0.03419
  299         300     0.03417            0            0            0      0.03417
  300         301     0.03416            0            0            0      0.03416
  301         302     0.03415            0            0            0      0.03415
  302         303     0.03413            0            0            0      0.03413
  303         304     0.03412            0            0            0      0.03412
  304         305     0.03411            0            0            0      0.03411
  305         306     0.03409            0            0            0      0.03409
  306         307     0.03408            0            0            0      0.03408
  307         308     0.03407            0            0            0      0.03407
  308         309     0.03405            0            0            0      0.03405
  309         310     0.03404            0            0            0      0.03404
  310         311     0.03403            0            0            0      0.03403
  311         312     0.03402            0            0            0      0.03402
  312         313       0.034            0            0            0        0.034
  313         314     0.03399            0            0            0      0.03399
  314         315     0.03398            0            0            0      0.03398
  315         316     0.03396            0            0            0      0.03396
  316         317     0.03395            0            0            0      0.03395
  317         318     0.03394            0            0            0      0.03394
  318         319     0.03392            0            0            0      0.03392
  319         320     0.03391            0            0            0      0.03391
  320         321      0.0339            0            0            0       0.0339
  321         322     0.03388            0            0            0      0.03388
  322         323     0.03387            0            0            0      0.03387
  323         324     0.03386            0            0            0      0.03386
  324         325     0.03384            0            0            0      0.03384
  325         326     0.03383            0            0            0      0.03383
  326         327     0.03382            0            0            0      0.03382
  327         328      0.0338            0            0            0       0.0338
  328         329     0.03379            0            0            0      0.03379
  329         330     0.03378            0            0            0      0.03378
  330         331     0.03377            0            0            0      0.03377
  331         332     0.03375            0            0            0      0.03375
  332         333     0.03374            0            0            0      0.03374
  333         334     0.03373            0            0            0      0.03373
  334         335     0.03371            0            0            0      0.03371
  335         336      0.0337            0            0            0       0.0337
  336         337     0.03369            0            0            0      0.03369
  337         338     0.03367            0            0            0      0.03367
  338         339     0.03366            0            0            0      0.03366
  339         340     0.03365            0            0            0      0.03365
  340         341     0.03363            0            0            0      0.03363
  341         342     0.03362            0            0            0      0.03362
  342         343     0.03361            0            0            0      0.03361
  343         344     0.03359            0            0            0      0.03359
  344         345     0.03358    1.212e-05            0            0      0.03359
  345         346     0.03357    3.228e-05            0            0       0.0336
  346         347     0.03355    5.243e-05            0            0      0.03361
  347         348     0.03354    7.258e-05            0            0      0.03361
  348         349     0.03353    9.274e-05            0            0      0.03362
  349         350     0.03352    0.0001129            0            0      0.03363
  350         351      0.0335     0.000133            0            0      0.03363
  351         352     0.03349    0.0001532            0            0      0.03364
  352         353     0.03348    0.0001733            0            0      0.03365
  353         354     0.03346    0.0001935            0            0      0.03366
  354         355     0.03345    0.0002137            0            0      0.03366
  355         356     0.03344    0.0002338            0            0      0.03367
  356         357     0.03342     0.000254            0            0      0.03368
  357         358     0.03341    0.0002741            0            0      0.03368
  358         359      0.0334    0.0002943            0            0      0.03369
  359         360     0.03338    0.0003144            0            0       0.0337
  360         361     0.03337    0.0003346            0            0       0.0337
  361         362     0.03336    0.0003547            0            0      0.03371
  362         363     0.03334    0.0003749            0            0      0.03372
  363         364     0.03333     0.000395            0            0      0.03373
  364         365     0.03332    0.0004152            0            0      0.03373
  365         366      0.0333    0.0004353            0            0      0.03374
  366         367     0.03329    0.0004555            0            0      0.03375
  367         368     0.03328    0.0004756            0            0      0.03375
  368         369     0.03326    0.0004958            0            0      0.03376
  369         370     0.03324    0.0005159            0            0      0.03376
  370         371     0.03322    0.0005361            0            0      0.03375
  371         372     0.03319    0.0005563            0            0      0.03375
  372         373     0.03317    0.0005764            0            0      0.03375
  373         374     0.03315    0.0005966            0            0      0.03374
  374         375     0.03312    0.0006167            0            0      0.03374
  375         376      0.0331    0.0006369            0            0      0.03373
  376         377     0.03307     0.000657            0            0      0.03373
  377         378     0.03305    0.0006772            0            0      0.03373
  378         379     0.03303    0.0006973            0            0      0.03372
  379         380       0.033    0.0007175            0            0      0.03372
  380         381     0.03298    0.0007376            0            0      0.03372
  381         382     0.03295    0.0007578            0            0      0.03371
  382         383     0.03293    0.0007779            0            0      0.03371
  383         384     0.03291    0.0007981            0            0       0.0337
  384         385     0.03288    0.0008182            0            0       0.0337
  385         386     0.03286    0.0008384            0            0       0.0337
  386         387     0.03284    0.0008585            0            0      0.03369
  387         388     0.03281    0.0008787            0            0      0.03369
  388         389     0.03279    0.0008989            0            0      0.03369
  389         390     0.03276     0.000919            0            0      0.03368
  390         391     0.03274    0.0009392            0            0      0.03368
  391         392     0.03272    0.0009593            0            0      0.03368
  392         393     0.03269    0.0009795            0            0      0.03367
  393         394     0.03267    0.0009996            0            0      0.03367
  394         395     0.03264      0.00102            0            0      0.03366
  395         396     0.03262      0.00104            0            0      0.03366
  396         397      0.0326      0.00106            0            0      0.03366
  397         398     0.03257      0.00108            0            0      0.03365
  398         399     0.03255       0.0011            0            0      0.03365
  399         400     0.03252     0.001121            0            0      0.03365
  400         401      0.0325     0.001141            0            0      0.03364
  401         402     0.03248     0.001161            0            0      0.03364
  402         403     0.03245     0.001181            0            0      0.03363
  403         404     0.03243     0.001201            0            0      0.03363
  404         405     0.03241     0.001221            0            0      0.03363
  405         406     0.03238     0.001241            0            0      0.03362
  406         407     0.03236     0.001262            0            0      0.03362
  407         408     0.03233     0.001282            0            0      0.03362
  408         409     0.03231     0.001302            0            0      0.03361
  409         410     0.03229     0.001322            0            0      0.03361
  410         411     0.03226     0.001342            0            0       0.0336
  411         412     0.03224     0.001362            0            0       0.0336
  412         413     0.03221     0.001383            0            0       0.0336
  413         414     0.03219     0.001403            0            0      0.03359
  414         415     0.03217     0.001423            0            0      0.03359
  415         416     0.03214     0.001443            0            0      0.03359
  416         417     0.03212     0.001463            0            0      0.03358
  417         418     0.03209     0.001483            0            0      0.03358
  418         419     0.03207     0.001503            0            0      0.03357
  419         420     0.03205     0.001524            0            0      0.03357
  420         421     0.03202     0.001544            0            0      0.03357
  421         422       0.032     0.001564            0            0      0.03356
  422         423     0.03198     0.001584            0            0      0.03356
  423         424     0.03195     0.001604            0            0      0.03356
  424         425     0.03193     0.001624            0            0      0.03355
  425         426      0.0319     0.001645            0            0      0.03355
  426         427     0.03188     0.001665            0            0      0.03354
  427         428     0.03186     0.001685            0            0      0.03354
  428         429     0.03183     0.001705            0            0      0.03354
  429         430     0.03181     0.001725            0            0      0.03353
  430         431     0.03178     0.001745            0            0      0.03353
  431         432     0.03176     0.001765            0            0      0.03353
  432         433     0.03174     0.001786            0            0      0.03352
  433         434     0.03171     0.001806            0            0      0.03352
  434         435     0.03169     0.001826            0            0      0.03351
  435         436     0.03166     0.001846            0            0      0.03351
  436         437     0.03164     0.001866            0            0      0.03351
  437         438     0.03162     0.001893            0            0      0.03351
  438         439     0.03159     0.001923            0            0      0.03352
  439         440     0.03157     0.001953            0            0      0.03352
  440         441     0.03155     0.001984            0            0      0.03353
  441         442     0.03152     0.002014            0            0      0.03354
  442         443      0.0315     0.002044            0            0      0.03354
  443         444     0.03147     0.002074            0            0      0.03355
  444         445     0.03145     0.002105            0            0      0.03355
  445         446     0.03143     0.002135            0            0      0.03356
  446         447      0.0314     0.002165            0            0      0.03357
  447         448     0.03138     0.002195            0            0      0.03357
  448         449     0.03135     0.002225            0            0      0.03358
  449         450     0.03133     0.002256            0            0      0.03359
  450         451     0.03131     0.002286            0            0      0.03359
