    N     E(MeV)   Elastic(b)   Inelastic(b)   Total(b)
  366        3.67      0.9613     0.004997       0.9663
  367        3.68      0.9619      0.00504        0.967
  368        3.69      0.9626     0.005084       0.9677
  369         3.7      0.9633     0.005128       0.9684
  370        3.71      0.9639     0.005172       0.9691
  371        3.72      0.9646     0.005217       0.9698
  372        3.73      0.9652     0.005262       0.9705
  373        3.74      0.9659     0.005307       0.9712
  374        3.75      0.9665     0.005352       0.9719
  375        3.76      0.9672     0.005397       0.9726
  376        3.77      0.9678     0.005443       0.9733
  377        3.78      0.9684     0.005489       0.9739
  378        3.79      0.9691     0.005535       0.9746
  379         3.8      0.9697     0.005582       0.9753
  380        3.81      0.9703     0.005629        0.976
  381        3.82       0.971     0.005676       0.9766
  382        3.83      0.9716     0.005723       0.9773
  383        3.84      0.9722     0.005771        0.978
  384        3.85      0.9728     0.005818       0.9786
  385        3.86      0.9734     0.005866       0.9793
  386        3.87       0.974     0.005915       0.9799
  387        3.88      0.9746     0.005963       0.9806
  388        3.89      0.9752     0.006012       0.9812
  389         3.9      0.9758     0.006061       0.9819
  390        3.91      0.9764      0.00611       0.9825
  391        3.92       0.977      0.00616       0.9832
  392        3.93      0.9776      0.00621       0.9838
  393        3.94      0.9782      0.00626       0.9844
  394        3.95      0.9788      0.00631       0.9851
  395        3.96      0.9793     0.006361       0.9857
  396        3.97      0.9799     0.006412       0.9863
  397        3.98      0.9805     0.006463       0.9869
  398        3.99      0.9811     0.006514       0.9876
  399           4      0.9816     0.006566       0.9882
  400        4.01      0.9822     0.006618       0.9888
  401        4.02      0.9827      0.00667       0.9894
  402        4.03      0.9833     0.006723         0.99
  403        4.04      0.9839     0.006775       0.9906
  404        4.05      0.9844     0.006828       0.9912
  405        4.06       0.985     0.006882       0.9918
  406        4.07      0.9855     0.006935       0.9925
  407        4.08      0.9861     0.006989       0.9931
  408        4.09      0.9866     0.007043       0.9936
  409         4.1      0.9871     0.007097       0.9942
  410        4.11      0.9877     0.007152       0.9948
  411        4.12      0.9882     0.007207       0.9954
  412        4.13      0.9887     0.007262        0.996
  413        4.14      0.9893     0.007318       0.9966
  414        4.15      0.9898     0.007373       0.9972
  415        4.16      0.9903     0.007429       0.9978
  416        4.17      0.9909     0.007486       0.9983
  417        4.18      0.9914     0.007542       0.9989
  418        4.19      0.9919     0.007599       0.9995
  419         4.2      0.9924     0.007656            1
  420        4.21      0.9929     0.007713        1.001
  421        4.22      0.9934     0.007771        1.001
  422        4.23      0.9939     0.007829        1.002
