    N     E(MeV)   Elastic(b)   Inelastic(b)   Total(b)
  271        27.2      0.6559       0.2702       0.9261
  272        27.3      0.6542       0.2701       0.9243
  273        27.4      0.6525         0.27       0.9225
  274        27.5      0.6508       0.2699       0.9207
  275        27.6      0.6492       0.2698        0.919
  276        27.7      0.6475       0.2697       0.9172
  277        27.8      0.6458       0.2696       0.9154
  278        27.9      0.6441       0.2695       0.9136
  279          28      0.6424       0.2694       0.9118
  280        28.1      0.6407       0.2694         0.91
  281        28.2       0.639       0.2693       0.9083
  282        28.3      0.6373       0.2692       0.9065
  283        28.4      0.6356       0.2691       0.9047
  284        28.5      0.6339        0.269       0.9029
  285        28.6      0.6322       0.2689       0.9011
  286        28.7      0.6305       0.2688       0.8994
  287        28.8      0.6289       0.2687       0.8976
  288        28.9      0.6272       0.2686       0.8958
  289          29      0.6255       0.2685        0.894
  290        29.1      0.6238       0.2685       0.8922
  291        29.2      0.6221       0.2684       0.8905
  292        29.3      0.6204       0.2683       0.8887
  293        29.4      0.6187       0.2682       0.8869
  294        29.5       0.617       0.2681       0.8851
  295        29.6      0.6153        0.268       0.8833
  296        29.7      0.6136       0.2679       0.8815
  297        29.8      0.6119       0.2678       0.8798
  298        29.9      0.6102       0.2677        0.878
  299          30      0.6086       0.2677       0.8762
  300        30.1       0.607       0.2675       0.8745
  301        30.2      0.6054       0.2674       0.8728
  302        30.3      0.6039       0.2672       0.8711
  303        30.4      0.6023       0.2671       0.8694
  304        30.5      0.6007       0.2669       0.8677
  305        30.6      0.5992       0.2668        0.866
  306        30.7      0.5976       0.2667       0.8643
  307        30.8      0.5961       0.2665       0.8626
  308        30.9      0.5945       0.2664       0.8609
  309          31      0.5929       0.2662       0.8592
  310        31.1      0.5914       0.2661       0.8575
  311        31.2      0.5898        0.266       0.8558
  312        31.3      0.5883       0.2658       0.8541
  313        31.4      0.5867       0.2657       0.8524
  314        31.5      0.5851       0.2655       0.8507
  315        31.6      0.5836       0.2654        0.849
  316        31.7       0.582       0.2653       0.8473
  317        31.8      0.5805       0.2651       0.8456
  318        31.9      0.5789        0.265       0.8439
  319          32      0.5773       0.2648       0.8422
  320        32.1      0.5758       0.2647       0.8405
  321        32.2      0.5742       0.2646       0.8388
  322        32.3      0.5726       0.2644       0.8371
  323        32.4      0.5711       0.2643       0.8354
  324        32.5      0.5695       0.2641       0.8337
  325        32.6       0.568        0.264        0.832
  326        32.7      0.5664       0.2639       0.8303
  327        32.8      0.5648       0.2637       0.8286
  328        32.9      0.5633       0.2636       0.8269
  329          33      0.5617       0.2634       0.8252
  330        33.1      0.5602       0.2633       0.8235
  331        33.2      0.5586       0.2632       0.8218
  332        33.3       0.557        0.263         0.82
  333        33.4      0.5555       0.2629       0.8183
  334        33.5      0.5539       0.2627       0.8166
  335        33.6      0.5523       0.2626       0.8149
  336        33.7      0.5508       0.2625       0.8132
  337        33.8      0.5492       0.2623       0.8115
  338        33.9      0.5477       0.2622       0.8098
  339          34      0.5461        0.262       0.8081
  340        34.1      0.5445       0.2619       0.8064
  341        34.2       0.543       0.2618       0.8047
  342        34.3      0.5414       0.2616        0.803
  343        34.4      0.5399       0.2615       0.8013
  344        34.5      0.5383       0.2613       0.7996
  345        34.6      0.5367       0.2612       0.7979
  346        34.7      0.5352       0.2611       0.7962
  347        34.8      0.5336       0.2609       0.7945
  348        34.9      0.5321       0.2608       0.7928
  349          35      0.5305       0.2606       0.7911
  350        35.1      0.5292       0.2603       0.7895
  351        35.2      0.5279         0.26       0.7879
  352        35.3      0.5266       0.2597       0.7863
  353        35.4      0.5253       0.2594       0.7847
  354        35.5       0.524       0.2591       0.7831
  355        35.6      0.5228       0.2588       0.7815
  356        35.7      0.5215       0.2584       0.7799
  357        35.8      0.5202       0.2581       0.7783
  358        35.9      0.5189       0.2578       0.7767
  359          36      0.5176       0.2575       0.7751
  360        36.1      0.5163       0.2572       0.7735
  361        36.2       0.515       0.2569       0.7719
  362        36.3      0.5137       0.2566       0.7703
  363        36.4      0.5124       0.2562       0.7687
  364        36.5      0.5111       0.2559       0.7671
  365        36.6      0.5099       0.2556       0.7655
  366        36.7      0.5086       0.2553       0.7639
  367        36.8      0.5073        0.255       0.7623
  368        36.9       0.506       0.2547       0.7607
  369          37      0.5047       0.2544       0.7591
  370        37.1      0.5034        0.254       0.7575
  371        37.2      0.5021       0.2537       0.7559
  372        37.3      0.5008       0.2534       0.7543
  373        37.4      0.4995       0.2531       0.7526
  374        37.5      0.4982       0.2528        0.751
  375        37.6       0.497       0.2525       0.7494
  376        37.7      0.4957       0.2522       0.7478
  377        37.8      0.4944       0.2519       0.7462
  378        37.9      0.4931       0.2515       0.7446
  379          38      0.4918       0.2512        0.743
  380        38.1      0.4905       0.2509       0.7414
  381        38.2      0.4892       0.2506       0.7398
  382        38.3      0.4879       0.2503       0.7382
  383        38.4      0.4866         0.25       0.7366
  384        38.5      0.4854       0.2497        0.735
  385        38.6      0.4841       0.2493       0.7334
  386        38.7      0.4828        0.249       0.7318
  387        38.8      0.4815       0.2487       0.7302
  388        38.9      0.4802       0.2484       0.7286
  389          39      0.4789       0.2481        0.727
  390        39.1      0.4776       0.2478       0.7254
  391        39.2      0.4763       0.2475       0.7238
  392        39.3       0.475       0.2472       0.7222
  393        39.4      0.4737       0.2468       0.7206
  394        39.5      0.4725       0.2465        0.719
  395        39.6      0.4712       0.2462       0.7174
  396        39.7      0.4699       0.2459       0.7158
  397        39.8      0.4686       0.2456       0.7142
  398        39.9      0.4673       0.2453       0.7126
  399          40       0.466        0.245        0.711
  400        40.1      0.4646       0.2448       0.7094
  401        40.2      0.4632       0.2446       0.7078
  402        40.3      0.4618       0.2444       0.7062
  403        40.4      0.4604       0.2443       0.7046
  404        40.5       0.459       0.2441       0.7031
  405        40.6      0.4576       0.2439       0.7015
  406        40.7      0.4562       0.2437       0.6999
  407        40.8      0.4548       0.2435       0.6983
  408        40.9      0.4534       0.2434       0.6967
  409          41      0.4519       0.2432       0.6951
  410        41.1      0.4505        0.243       0.6936
  411        41.2      0.4491       0.2428        0.692
  412        41.3      0.4477       0.2427       0.6904
  413        41.4      0.4463       0.2425       0.6888
  414        41.5      0.4449       0.2423       0.6872
  415        41.6      0.4435       0.2421       0.6857
  416        41.7      0.4421        0.242       0.6841
  417        41.8      0.4407       0.2418       0.6825
  418        41.9      0.4393       0.2416       0.6809
  419          42      0.4379       0.2414       0.6793
  420        42.1      0.4365       0.2413       0.6777
  421        42.2      0.4351       0.2411       0.6762
  422        42.3      0.4337       0.2409       0.6746
  423        42.4      0.4323       0.2407        0.673
  424        42.5      0.4309       0.2406       0.6714
  425        42.6      0.4295       0.2404       0.6698
  426        42.7       0.428       0.2402       0.6682
  427        42.8      0.4266         0.24       0.6667
  428        42.9      0.4252       0.2398       0.6651
  429          43      0.4238       0.2397       0.6635
  430        43.1      0.4224       0.2395       0.6619
  431        43.2       0.421       0.2393       0.6603
  432        43.3      0.4196       0.2391       0.6588
  433        43.4      0.4182        0.239       0.6572
  434        43.5      0.4168       0.2388       0.6556
  435        43.6      0.4154       0.2386        0.654
  436        43.7       0.414       0.2384       0.6524
  437        43.8      0.4126       0.2383       0.6508
  438        43.9      0.4112       0.2381       0.6493
  439          44      0.4098       0.2379       0.6477
  440        44.1      0.4084       0.2377       0.6461
  441        44.2       0.407       0.2376       0.6445
  442        44.3      0.4055       0.2374       0.6429
  443        44.4      0.4041       0.2372       0.6413
  444        44.5      0.4027        0.237       0.6398
  445        44.6      0.4013       0.2369       0.6382
  446        44.7      0.3999       0.2367       0.6366
  447        44.8      0.3985       0.2365        0.635
  448        44.9      0.3971       0.2363       0.6334
  449          45      0.3957       0.2361       0.6319
  450        45.1       0.395       0.2359       0.6308
  451        45.2      0.3942       0.2356       0.6298
  452        45.3      0.3934       0.2353       0.6287
  453        45.4      0.3927        0.235       0.6277
  454        45.5      0.3919       0.2347       0.6266
  455        45.6      0.3912       0.2344       0.6256
  456        45.7      0.3904       0.2341       0.6245
  457        45.8      0.3897       0.2338       0.6235
  458        45.9      0.3889       0.2335       0.6224
  459          46      0.3882       0.2332       0.6214
  460        46.1      0.3874       0.2329       0.6203
  461        46.2      0.3867       0.2326       0.6193
  462        46.3      0.3859       0.2323       0.6182
  463        46.4      0.3852        0.232       0.6172
  464        46.5      0.3844       0.2317       0.6161
  465        46.6      0.3837       0.2314       0.6151
  466        46.7      0.3829       0.2311        0.614
  467        46.8      0.3822       0.2308        0.613
  468        46.9      0.3814       0.2305       0.6119
  469          47      0.3807       0.2302       0.6109
  470        47.1      0.3799       0.2299       0.6098
  471        47.2      0.3792       0.2296       0.6088
  472        47.3      0.3784       0.2293       0.6078
  473        47.4      0.3777       0.2291       0.6067
  474        47.5      0.3769       0.2288       0.6057
  475        47.6      0.3761       0.2285       0.6046
  476        47.7      0.3754       0.2282       0.6036
  477        47.8      0.3746       0.2279       0.6025
  478        47.9      0.3739       0.2276       0.6015
  479          48      0.3731       0.2273       0.6004
  480        48.1      0.3724        0.227       0.5994
  481        48.2      0.3716       0.2267       0.5983
  482        48.3      0.3709       0.2264       0.5973
  483        48.4      0.3701       0.2261       0.5962
  484        48.5      0.3694       0.2258       0.5952
  485        48.6      0.3686       0.2255       0.5941
  486        48.7      0.3679       0.2252       0.5931
  487        48.8      0.3671       0.2249        0.592
  488        48.9      0.3664       0.2246        0.591
  489          49      0.3656       0.2243       0.5899
